track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,training_time_seconds,test_inference_time_seconds,threshold_policy,recall_target,train_fraction,repeat,train_rows_used,feature_state_time_seconds,kernel_matrix_time_seconds
phase5_label_scarcity,reduced_svm_rbf,test,0.48141008821767656,0.05864676616915423,0.005194859822912066,0.988,0.010335376697282257,0.5080600000000001,0.0049391861254267835,0.946,0.012,5400.0,94600.0,6.0,494.0,1000,0.026589204000629252,0.015118639999855077,recall_target_precision_max,0.8,0.25,2,400,,
phase5_label_scarcity,reduced_mlp,test,0.4551534363052934,0.10010945273631841,0.005073683978824798,0.922,0.01009183349569291,0.503908,0.006751085684203862,0.904,0.078,9600.0,90400.0,39.0,461.0,1000,0.08517099799973948,0.0004076609984622337,recall_target_precision_max,0.8,0.25,2,400,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0001567334732664,0.13417910447761194,0.005543807509858833,0.97,0.011024606467011422,0.5436559999999999,0.007515819483773504,0.87,0.03,13000.0,87000.0,15.0,485.0,1000,0.006688196001050528,0.0033818909996625734,recall_target_precision_max,0.8,0.25,2,400,0.2727425930006575,0.01444216699928802
phase5_label_scarcity,reduced_logistic_regression,test,0.0047232483620726845,0.12599004975124378,0.0052344157168430355,0.924,0.01040986007525743,0.5124519999999999,0.006875890131020404,0.878,0.076,12200.0,87800.0,38.0,462.0,1000,0.022487395001007826,0.00029335999897739384,recall_target_precision_max,0.8,0.5,0,800,,
phase5_label_scarcity,reduced_svm_rbf,test,0.47991998638603256,0.145681592039801,0.005113577068911539,0.882,0.01016820188838035,0.47816000000000003,0.004578923421180192,0.858,0.118,14200.0,85800.0,59.0,441.0,1000,0.0969024599999102,0.027147781998792198,recall_target_precision_max,0.8,0.5,0,800,,
phase5_label_scarcity,reduced_mlp,test,0.48766644911460705,0.21882587064676617,0.004975124378109453,0.784,0.00988750441406447,0.485892,0.004594364257284904,0.784,0.216,21600.0,78400.0,108.0,392.0,1000,0.08959610600140877,0.0004009280000900617,recall_target_precision_max,0.8,0.5,0,800,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002623684800176,0.21304477611940298,0.005175605394718616,0.822,0.010286443668581297,0.528736,0.005474221281079856,0.79,0.178,21000.0,79000.0,89.0,411.0,1000,0.014870443999825511,0.005941352999798255,recall_target_precision_max,0.8,0.5,0,800,0.31727618699915183,0.03387657799976296
phase5_label_scarcity,reduced_logistic_regression,test,0.0042605000814846215,0.10807960199004975,0.005129799471475206,0.924,0.010202954881738478,0.5064280000000001,0.006788327687561121,0.896,0.076,10400.0,89600.0,38.0,462.0,1000,0.02244026200060034,0.0003552720008883625,recall_target_precision_max,0.8,0.5,1,800,,
phase5_label_scarcity,reduced_svm_rbf,test,0.46496709845362366,0.1020995024875622,0.005084876628318681,0.922,0.010113974177553997,0.531168,0.013397218380603114,0.902,0.078,9800.0,90200.0,39.0,461.0,1000,0.09817155899872887,0.028779625001334352,recall_target_precision_max,0.8,0.5,1,800,,
phase5_label_scarcity,reduced_mlp,test,0.4541864785961906,0.11002985074626866,0.005096930712902579,0.916,0.010137453241550277,0.514564,0.008958562533239565,0.894,0.084,10600.0,89400.0,42.0,458.0,1000,0.09818799699860392,0.00042252200000802986,recall_target_precision_max,0.8,0.5,1,800,,
