model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,test_kernel,0,6,161,"{""0100"": 4, ""0000"": 211, ""0001"": 27, ""0010"": 2, ""1000"": 11, ""1001"": 1}",256
kernel_svc,test_kernel,0,7,162,"{""1001"": 1, ""0000"": 222, ""0001"": 17, ""1000"": 16}",256
kernel_svc,test_kernel,0,8,163,"{""0000"": 197, ""0001"": 26, ""0100"": 1, ""1000"": 22, ""0010"": 2, ""1010"": 2, ""1001"": 5, ""0011"": 1}",256
kernel_svc,test_kernel,0,9,164,"{""0000"": 224, ""0001"": 28, ""0010"": 1, ""0100"": 1, ""1000"": 1, ""0011"": 1}",256
kernel_svc,test_kernel,1,0,165,"{""0000"": 228, ""0001"": 23, ""0100"": 1, ""1000"": 3, ""0010"": 1}",256
kernel_svc,test_kernel,1,1,166,"{""0000"": 216, ""0100"": 10, ""0001"": 24, ""0011"": 1, ""0010"": 2, ""1001"": 2, ""1000"": 1}",256
kernel_svc,test_kernel,1,2,167,"{""0000"": 203, ""1000"": 37, ""0001"": 14, ""0100"": 1, ""1100"": 1}",256
kernel_svc,test_kernel,1,3,168,"{""0000"": 226, ""0001"": 26, ""0010"": 2, ""1000"": 1, ""0011"": 1}",256
kernel_svc,test_kernel,1,4,169,"{""0000"": 224, ""0001"": 21, ""1000"": 10, ""0010"": 1}",256
kernel_svc,test_kernel,1,5,170,"{""0000"": 231, ""0001"": 17, ""1000"": 6, ""0100"": 2}",256
kernel_svc,test_kernel,1,6,171,"{""0000"": 222, ""0001"": 15, ""1001"": 1, ""1000"": 18}",256
kernel_svc,test_kernel,1,7,172,"{""0000"": 222, ""1000"": 17, ""0001"": 12, ""1010"": 1, ""0101"": 2, ""1001"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,1,8,173,"{""0000"": 217, ""0001"": 13, ""1000"": 23, ""1001"": 2, ""0011"": 1}",256
kernel_svc,test_kernel,1,9,174,"{""0000"": 238, ""0001"": 11, ""1000"": 4, ""0100"": 3}",256
kernel_svc,test_kernel,2,0,175,"{""0000"": 210, ""1000"": 14, ""0001"": 26, ""0100"": 1, ""0010"": 2, ""1100"": 1, ""1011"": 1, ""1001"": 1}",256
kernel_svc,test_kernel,2,1,176,"{""0000"": 225, ""0001"": 25, ""0100"": 5, ""1000"": 1}",256
kernel_svc,test_kernel,2,2,177,"{""1000"": 13, ""0000"": 220, ""0001"": 21, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,2,3,178,"{""0000"": 222, ""0001"": 23, ""0100"": 3, ""0010"": 4, ""1000"": 4}",256
kernel_svc,test_kernel,2,4,179,"{""0000"": 232, ""0001"": 16, ""1000"": 8}",256
kernel_svc,test_kernel,2,5,180,"{""0000"": 212, ""0001"": 21, ""1010"": 1, ""1000"": 18, ""1001"": 1, ""0100"": 3}",256
kernel_svc,test_kernel,2,6,181,"{""0000"": 227, ""0001"": 18, ""1000"": 10, ""1001"": 1}",256
kernel_svc,test_kernel,2,7,182,"{""0000"": 191, ""1000"": 33, ""0001"": 21, ""0100"": 3, ""1001"": 3, ""1100"": 1, ""0101"": 1, ""0010"": 3}",256
kernel_svc,test_kernel,2,8,183,"{""0000"": 194, ""0001"": 16, ""0100"": 1, ""1000"": 40, ""1001"": 3, ""0010"": 2}",256
kernel_svc,test_kernel,2,9,184,"{""0000"": 233, ""0001"": 16, ""1000"": 6, ""0010"": 1}",256
kernel_svc,test_kernel,3,0,185,"{""0000"": 216, ""0001"": 14, ""0100"": 5, ""1000"": 12, ""0010"": 3, ""1001"": 4, ""0101"": 2}",256
kernel_svc,test_kernel,3,1,186,"{""0000"": 227, ""0001"": 20, ""0100"": 5, ""0010"": 2, ""0101"": 1, ""1000"": 1}",256
kernel_svc,test_kernel,3,2,187,"{""0000"": 236, ""0001"": 13, ""1000"": 7}",256
